	WordPiece	surprisal	window
295	##s	16.92120045094732	1SL/0R
296	of	17.416676163009143	1SL/0R
297	the	11.659813171259323	1SL/0R
298	prophecy	17.65712017124161	1SL/0R
299	of	18.625995189338834	1SL/0R
300	this	12.85025412070877	1SL/0R
301	book	20.854955362076954	1SL/0R
302	for	19.33479855748751	1SL/0R
303	the	12.955617888207504	1SL/0R
304	time	11.76335116231423	1SL/0R
305	is	19.28875734962165	1SL/0R
306	at	18.983472054005645	1SL/0R
307	hand	17.5573789028711	1SL/0R
308	.	0.25342335481626505	1SL/0R
309	He	11.745736314498608	1SL/0R
310	that	16.631339550166775	1SL/0R
311	is	14.160305263199707	1SL/0R
312	un	20.058367657789482	1SL/0R
313	##ju	15.369817654820002	1SL/0R
314	##st	7.395618706378751	1SL/0R
315	let	19.79958162589323	1SL/0R
316	him	4.982122018314428	1SL/0R
317	be	10.81834680332279	1SL/0R
318	un	20.061812494444304	1SL/0R
319	##ju	11.833378858233175	1SL/0R
320	##st	8.621689134155625	1SL/0R
321	still	23.949925515488108	1SL/0R
322	and	14.342611980375038	1SL/0R
323	he	11.558419851676149	1SL/0R
324	which	11.924077460352251	1SL/0R
325	is	8.410774735114787	1SL/0R
326	filthy	19.87292508163392	1SL/0R
327	let	15.992079622411032	1SL/0R
328	him	6.587772336031961	1SL/0R
329	be	7.579827991232594	1SL/0R
330	filthy	24.291679849487853	1SL/0R
331	still	16.731864531100502	1SL/0R
332	and	11.828771424119124	1SL/0R
333	he	12.006943800955062	1SL/0R
334	that	8.24522073631168	1SL/0R
335	is	8.04602126962063	1SL/0R
336	right	10.06368403721448	1SL/0R
337	##eous	19.937006077883165	1SL/0R
338	let	17.106128954770014	1SL/0R
339	him	0.6117901890735691	1SL/0R
340	be	6.8910487304686106	1SL/0R
341	right	16.526518926077905	1SL/0R
342	##eous	20.10837712219638	1SL/0R
343	still	17.117256586220222	1SL/0R
344	and	10.327379568704963	1SL/0R
345	he	12.55008564210692	1SL/0R
346	that	9.241193868361279	1SL/0R
347	is	7.259265826487369	1SL/0R
348	holy	13.194407846429947	1SL/0R
349	let	15.327402982346829	1SL/0R
350	him	0.6443146017355218	1SL/0R
351	be	6.102109132636154	1SL/0R
352	holy	15.88878296467293	1SL/0R
353	still	15.473900556636568	1SL/0R
354	.	0.29429063237433595	1SL/0R
355	And	13.874351945161749	1SL/0R
356	be	20.024581616039633	1SL/0R
357	##hold	18.41843402411894	1SL/0R
358	I	16.83469381242631	1SL/0R
359	come	13.561524876095133	1SL/0R
360	quickly	21.497727099161914	1SL/0R
361	and	16.55338626721141	1SL/0R
362	my	16.07064062502838	1SL/0R
363	reward	16.53022467800549	1SL/0R
364	is	17.846578472032654	1SL/0R
365	with	14.442528819287517	1SL/0R
366	me	7.629952531345519	1SL/0R
367	to	18.77495514682808	1SL/0R
368	give	13.434197951577783	1SL/0R
369	every	21.35164164990852	1SL/0R
370	man	11.791821765793635	1SL/0R
371	according	24.62849080217978	1SL/0R
372	as	18.086066528978076	1SL/0R
373	his	15.584669042175678	1SL/0R
374	work	21.210501577506502	1SL/0R
375	shall	20.88288310605606	1SL/0R
376	be	16.134644198046512	1SL/0R
377	.	0.12043142631473619	1SL/0R
378	I	9.638390954831912	1SL/0R
379	am	15.144243541420947	1SL/0R
380	Alpha	25.666779940868384	1SL/0R
381	and	16.218356036538637	1SL/0R
382	Omega	9.744056149124674	1SL/0R
383	the	21.956411776656783	1SL/0R
384	beginning	12.759336317018644	1SL/0R
385	and	14.688445128244494	1SL/0R
386	the	10.870430989514205	1SL/0R
387	end	0.86325649575761	1SL/0R
388	the	19.83611281735152	1SL/0R
389	first	9.976800305997635	1SL/0R
390	and	15.194028186407587	1SL/0R
391	the	10.288970293454227	1SL/0R
392	last	1.6249279461923298	1SL/0R
393	.	0.04759590735774332	1SL/0R
394	Blessed	18.330412692938275	1SL/0R
395	are	19.23424812670509	1SL/0R
