	WordPiece	surprisal	window
371	as	16.78877501837886	1L/0R
372	his	23.141178266590547	1L/0R
373	work	20.849294514295487	1L/0R
374	shall	18.379825825135768	1L/0R
375	be	12.351718240650708	1L/0R
376	.	0.3835925000207382	1L/0R
377	I	14.906188679462865	1L/0R
378	am	15.144243541420947	1L/0R
379	Alpha	34.311087988356114	1L/0R
380	and	15.191313465921054	1L/0R
381	Omega	28.48227247023185	1L/0R
382	the	18.264041612570118	1L/0R
383	beginning	16.62995958422044	1L/0R
384	and	13.168237473864693	1L/0R
385	the	16.871478703630824	1L/0R
386	end	16.01180437935355	1L/0R
387	the	18.668842494428272	1L/0R
388	first	16.134194059552676	1L/0R
389	and	14.638872639837343	1L/0R
390	the	16.871478703630824	1L/0R
391	last	15.774504077139948	1L/0R
392	.	0.5641755078027842	1L/0R
393	Blessed	25.400724222899573	1L/0R
394	are	19.23424812670509	1L/0R
395	they	15.047308601223401	1L/0R
396	that	14.6684246363145	1L/0R
397	do	17.744329390409955	1L/0R
398	his	19.094623829750223	1L/0R
399	command	23.83401610416796	1L/0R
400	##ments	21.952545877375282	1L/0R
401	that	18.746830143227566	1L/0R
402	they	16.44269722562071	1L/0R
403	may	14.697174520187932	1L/0R
404	have	13.82357876532505	1L/0R
405	right	20.632451805761512	1L/0R
406	to	17.697554768640707	1L/0R
407	the	13.512790470649065	1L/0R
408	tree	20.60882224032291	1L/0R
409	of	16.30860182172891	1L/0R
410	life	16.70350033015239	1L/0R
411	and	13.276972399926493	1L/0R
412	may	22.06136620836263	1L/0R
413	enter	19.631469959629392	1L/0R
414	in	19.674116640253402	1L/0R
415	through	22.722048188640336	1L/0R
416	the	13.863450638761416	1L/0R
417	gates	19.11944697448272	1L/0R
418	into	19.954094392768422	1L/0R
419	the	11.438346011106042	1L/0R
420	city	18.660638459567593	1L/0R
421	.	0.9057373540448379	1L/0R
422	For	19.79882835268038	1L/0R
423	without	18.821742888883655	1L/0R
424	are	17.188855532394083	1L/0R
425	dogs	24.32475458051479	1L/0R
426	and	13.988006049698713	1L/0R
427	so	19.534627404194453	1L/0R
428	##rcerer	24.959618463739535	1L/0R
429	##s	14.646901511377548	1L/0R
430	and	18.063814717334346	1L/0R
431	whore	29.438581289296977	1L/0R
432	##mon	24.487551999027797	1L/0R
433	##gers	23.524720891187755	1L/0R
434	and	15.100386771860206	1L/0R
435	murderer	27.310635716836806	1L/0R
436	##s	16.09539615431402	1L/0R
437	and	18.063814717334346	1L/0R
438	idol	28.419681733401188	1L/0R
439	##ater	18.627871443943686	1L/0R
440	##s	16.53389938512231	1L/0R
441	and	18.063814717334346	1L/0R
442	who	20.65137678643533	1L/0R
443	##so	22.303426653828225	1L/0R
444	##ever	23.432098220461135	1L/0R
445	love	18.47157748688126	1L/0R
446	##th	19.98337548382773	1L/0R
447	and	19.070505352052983	1L/0R
448	make	23.072822275566768	1L/0R
449	##th	21.98142625093026	1L/0R
450	a	21.877259352194912	1L/0R
451	lie	29.348839777305006	1L/0R
452	.	0.9157116040641514	1L/0R
453	I	14.906188679462865	1L/0R
454	Jesus	21.82782904909091	1L/0R
455	have	20.99644108472733	1L/0R
456	sent	20.94524284599185	1L/0R
457	mine	19.676676768708504	1L/0R
458	angel	22.655845664564893	1L/0R
459	to	16.63465766491695	1L/0R
460	testify	23.365029794829464	1L/0R
461	unto	20.675087861046272	1L/0R
462	you	12.605739205171716	1L/0R
463	these	21.193827132010075	1L/0R
464	things	17.43016455179728	1L/0R
465	in	18.072890923653986	1L/0R
466	the	17.94013522479503	1L/0R
467	churches	23.186415674320717	1L/0R
468	I	18.735248595608937	1L/0R
469	am	15.144243541420947	1L/0R
